Isotope	<th>	conc	<th>	Coh_b	<th>	Inc_b	<th>	Coh_xs	<th>	Inc_xs	<th>	Scatt_xs	<th>	Abs_xs	<th> Mass<th>Radius
	H	<td>	---	<td>	-3.7390	<td>	---	<td>	1.7568	<td>	80.26	<td>	82.02	<td>	0.3326	<td> 1.008<td> 0.25
	1H	<td>	99.985	<td>	-3.7406	<td>	25.274	<td>	1.7583	<td>	80.27	<td>	82.03	<td>	0.3326	<td> 1.007825032<td> 0.25 
	2H	<td>	0.015	<td>	6.671	<td>	4.04	<td>	5.592	<td>	2.05	<td>	7.64	<td>	0.000519	<td> 2.014101778<td> 0.25 
	3H	<td>	0 <td>	4.792	<td>	-1.04	<td>	2.89	<td>	0.14	<td>	3.03	<td>	0	<td> 3.0160492675<td> 0.25
	He	<td>	---	<td>	3.26(3)	<td>	---	<td>	1.34	<td>	0	<td>	1.34	<td>	0.00747	<td> 4.0026<td> 0.25
	3He	<td>	0.00014	<td>	5.74-1.483<i>i</i>	<td>	-2.5+2.568<i>i</i>	<td>	4.42	<td>	1.6	<td>	6	<td>	5333.(7.)	<td> 3.016029309<td> 0.25
	4He	<td>	99.99986	<td>	3.26	<td>	0	<td>	1.34	<td>	0	<td>	1.34	<td>	0	<td> 4.0026032497<td> 0.25
	Li	<td>	---	<td>	-1.90	<td>	---	<td>	0.454	<td>	0.92	<td>	1.37	<td>	70.5	<td> 6.94<td> 1.45
	6Li	<td>	7.5	<td>	2.00-0.261<i>i</i>	<td>	-1.89+0.26<i>i</i>	<td>	0.51	<td>	0.46	<td>	0.97	<td>	940.(4.)	<td> 6.0151223<td> 1.45
	7Li	<td>	92.5	<td>	-2.22	<td>	-2.49	<td>	0.619	<td>	0.78	<td>	1.4	<td>	0.0454	<td> 7.0160040<td> 1.45
	Be	<td>	100	<td>	7.79	<td>	0.12	<td>	7.63	<td>	0.0018	<td>	7.63	<td>	0.0076	<td> 9.0121821<td> 1.05
	B	<td>	---	<td>	5.30-0.213<i>i</i>	<td>	---	<td>	3.54	<td>	1.7	<td>	5.24	<td>	767.(8.)	<td> 10.81<td> 0.85
	10B	<td>	20	<td>	-0.1-1.066<i>i</i>	<td>	-4.7+1.231<i>i</i>	<td>	0.144	<td>	3	<td>	3.1	<td>	3835.(9.)	<td> 10.0129370<td> 0.85
	11B	<td>	80	<td>	6.65	<td>	-1.3	<td>	5.56	<td>	0.21	<td>	5.77	<td>	0.0055	<td> 11.0093055<td> 0.85
	C	<td>	---	<td>	6.6460	<td>	---	<td>	5.551	<td>	0.001	<td>	5.551	<td>	0.0035	<td> 12.011<td> 0.7
	12C	<td>	98.9	<td>	6.6511	<td>	0	<td>	5.559	<td>	0	<td>	5.559	<td>	0.00353	<td> 12.000000<td> 0.7
	13C	<td>	1.1	<td>	6.19	<td>	-0.52	<td>	4.81	<td>	0.034	<td>	4.84	<td>	0.00137	<td> 13.0033548378<td> 0.7
	N	<td>	---	<td>	9.36	<td>	---	<td>	11.01	<td>	0.5	<td>	11.51	<td>	1.9	<td> 14.007<td> 0.65
	14N	<td>	99.63	<td>	9.37	<td>	2.0	<td>	11.03	<td>	0.5	<td>	11.53	<td>	1.91	<td> 14.0030740052<td> 0.65
	15N	<td>	0.37	<td>	6.44	<td>	-0.02	<td>	5.21	<td>	0.00005	<td>	5.21	<td>	0.000024	<td> 15.0001088984<td> 0.65
	O	<td>	---	<td>	5.803	<td>	---	<td>	4.232	<td>	0.0008	<td>	4.232	<td>	0.00019	<td> 15.999<td> 0.6
	16O	<td>	99.762	<td>	5.803	<td>	0	<td>	4.232	<td>	0	<td>	4.232	<td>	0.0001	<td> 15.99491463<td> 0.6
